Sentence,Label
বেন্নে উড়া পরিব,Chittagong
হায়! আমি তো রাগান্বিত!,Pabna
ওরে বাপো!,Rangpur
আমার লাইগা একটু জায়গা ছাইরা দ্যান।,Pabna
বাহ! তুমি তো হাচিই মেধাবী!,Cumilla
দয়া করে একটু চুপ করেন।,Cumilla
এবার দৌড়াও।,Cumilla
আমি ফিরিয়া আইমু।,Sylhet
তুই এগাজা ভুল গরজ,Chittagong
কামে মন দে।,Pabna
কই আমরা কইতাছি সিলেটি ভাষা।,Sylhet
মেহেরবানি খরিয়া একটু মন লাগাও।,Sylhet
আমাগো বাড়িও পাবনা।,Pabna
এই ফল ইবা বেশি সু্ন্দর।,Chittagong
আস্তে আস্তে হতা হ,Chittagong
"বেশি বকবক করিস না, প্লিজ।",Pabna
ইয়ান এত তারাতারি কেনে অইলো,Chittagong
আমারে তুরা হেল্প খরো।,Sylhet
তুর বেশী ধইজ্জ ধরিত পারচ,Chittagong
বাহ! তুই সেরা!,Rangpur
হায়! কতো বড় ভুল করলেম!,Pabna
দয়া করে আমারে সাহায্য করেন।,Cumilla
তোমার পছন্দের গান কী?,Cumilla
লোকটা আমাক দুই চোহে দেকপের পারে না।,Pabna
সাথে সাথে হামার সংস্কৃতির মানষি গুলাও বিভিন্ন জাগাত ছড়ি ছিটি গেইছে,Rangpur
তুমি কিতা স্পেশাল কিচ্ছু চিন্তা খররায় নি?,Sylhet
আমি ফরতেদিন ব্যাম খরি।,Sylhet
তুই কি কিছু স্পেশাল ভাবতাছস?,Pabna
তোঁয়ার তোন কি আগর জমানার সিনেমা গম লাগে??,Chittagong
হালিয়ে কী ক্লাস আছে,Chittagong
তোমার পছন্দের রেস্টুডেন্ট কোনটা?,Sylhet
ভালা করিয়া রান্দন শিখিও।,Cumilla
কখন থাইক্যা তোমাগো লেখাগুলা পড়তাছি।,Cumilla
আঁরা ঘরোত আইজ্জা গছি মাছ রান্ধিযে,Chittagong
আপনার অভিজ্ঞতা শেয়ার কইরবেন?,Pabna
গমগরি হাজ গান গরিজ,Chittagong
হায়রে হায়! ইটা কেমনে অইল!,Sylhet
ইনো আমরা আমরাউতো।,Sylhet
আরা বেজ্ঞুনে মিলি সিনামা চাইত গিলাম,Chittagong
তুমি কিতা খইছো?,Sylhet
আল্লাহ আমাগো হগলতেরে মাফ কইরা দিক।,Cumilla
মুই কি তোর কিছু জানবার পাইম?,Rangpur
হামরা গেইনো,Rangpur
মোক একনা সময় দেন।,Rangpur
"এইডাই কমু, কওনই লাগবো।",Cumilla
খুবই মানাইছে তোমাকে...,Bogura
মুই ফির অংপুর যাইম,Rangpur
চলো রিশকা নিই,Bogura
"হামি ব্যস্ত আছি,",Bogura
এডো গামলায় থুয়ে আয়,Bogura
আজকা বাইরে যাওনের মন নাই।,Cumilla
তারাতারি আই,Chittagong
হে তো দারুন গান গায়।,Sylhet
ভালো করি আন্দা শিখিস,Rangpur
হামাকে সাহায্য করুন।,Bogura
মোক এখনা ভাল করি শুনেন।,Rangpur
তোমরায় কনতো,Rangpur
আমি এহন যাইবের পারবো না,Pabna
আঁই ফিরত আমু।,Cumilla
আরা এক্কো পোয়াতি হাইতো যাইর,Chittagong
আঁই কুমিল্লার পোলা।,Cumilla
তুই কেনে এতো তারাতাড়ি পরিত পারস??,Chittagong
আমারে কিছুটা সুযোগ দ্যান।,Cumilla
চাটগাঁইয়া ভাষাত আরে কি পাশ মার্ক দেওয়া যাইবো নে?,Chittagong
আইজক্যা স্কুলে সেই মজা হইছিলো।,Bogura
কাম প্রায় শ্যাষ।,Bogura
এই জিনিসকোনা একনাও ভাল না,Rangpur
"প্লিজ, একটু মন দে।",Pabna
আজিয়া আরতুন হাজ গরিত মনে ন হর।,Chittagong
স্কুলের সময়সূচি খান দেইখো।,Bogura
কামের তালিকা তৈরি করো।,Bogura
হামি গেলাম তাইলে,Bogura
"সুন্দর তো, উপকার দিলেও পারেন।",Bogura
তুমি কি নতুন কামের জন্য তৈরি বারে?,Bogura
মেহমান আইছে।,Cumilla
অ আল্লাহ কি হস্ট,Chittagong
তোমরা অমপুরের ভাষাত কতা কওয়া শেখেন নাই,Rangpur
মিচছানা আগত আনু,Rangpur
আইজকুর দিন খান বালা।,Sylhet
আঁরে অঁনের অভিজ্ঞতার কথা এক্কানা কইবেন নি?,Chittagong
আমি রাইতে মেলা আগে ঘুমাই।,Pabna
একজন মানুষের দুইজন পোলা আছিল।,Cumilla
তুই কি নতুন টেকনোলজি নিয়া আপডেট থাকস?,Pabna
কিতা অইছে কাজিয়া কিতা লাগি?,Sylhet
উনি বহুত ভ্যালা ছবি আঁকেন বারে।,Bogura
ইয়ান কি গইল্লাম আয়,Chittagong
তুমার গেসে আছে নি,Sylhet
একটু শান্ত/আনামাতি/টাণ্ডা থাখার লাগি খইন।,Sylhet
ওহ! আমার চোখের ভুল!,Cumilla
আপনার থেইকা কিছু শিখপের চাই।,Pabna
তুমি কি খাওয়া শ্যাষ করছাও?,Bogura
তুই কি কহনো কোনডা পুরস্কার পাইছস?,Pabna
আই এহন গেলাম।,Chittagong
আফনে কিতা আবার ফরিদর্শন খরবা নি?,Sylhet
তুমি হাচিই স্পেশাল,Cumilla
আইজক্যা কতো তারিখ?,Bogura
তুমি জানলিই হবি,Bogura
এখনা জিরবার দেন।,Rangpur
থুড়া মজাখরি রান্ধো।,Sylhet
নতুন কিছু শিক।,Rangpur
আমারে মাফ করো!,Pabna
নান্নির আমার বাড়ি।,Sylhet
খাইল খাইও এখন,Sylhet
আঁত্তে ঘুম আইস্সে।,Chittagong
কি অদ্ভুত বেয়াফার!,Sylhet
তুমি কনে কাম করো?,Pabna
আমার দিক ইকটু মন দিন।,Pabna
দয়া করে এই প্রজেক্টে সাহায্য করেন।,Cumilla
ভাষা ভুইলে যাবো ?,Pabna
আইজকুর কনসার্টটা কুব ভালা অইবো।,Sylhet
তুই সবাইক জিজ্ঞেস করে দেক।,Pabna
টিভিগা বন্ধ গর,Chittagong
বইডো ফেরত দিও,Bogura
.ওয় গান কয়,Rangpur
কী হইছে তুমার আবার বারে,Bogura
তুই হডে হাজ গরজদে,Chittagong
বাহ্ তুমি সেরা,Pabna
তোমার হাত থাকি একনা উপহার পাং?,Rangpur
কিলা লাগলো,Sylhet
চিনি এনা কম দিও,Bogura
দয়া করে দুয়ারডা বন্ধ করেন।,Cumilla
আমারে অস্কার দাও।,Cumilla
তোমরা খালি হামাক কেনে কন,Rangpur
ভাষাটা আমরার প্রাণর।,Sylhet
তুই কি গাড়ি চালাইতে জানস?,Pabna
"তুমরা সবাই যে পাবনাার কতা লিখসোও, আমাক কইছেও।",Pabna
আই এহন জাইয়ুম,Chittagong
তুই কোনোদিন নিজর ভুল স্বীকার খরছ না।,Sylhet
এদিন্নে তোয়ার হতাই উনি,Chittagong
তুই কি খানা শেষ গরছোস না?,Chittagong
অল্প পানি দেও,Bogura
আর নোয়া বই গ বেশী মজার,Chittagong
মুই আর তর সবার পাংছে না,Rangpur
কি অদ্ভুত ব্যাপার!,Pabna
আমি কারমাইকেল ক্যাম্পাসও যাইমু,Sylhet
বইটা ফিরাইয়া দেও।,Sylhet
বেগ্গুনে রাতিয়ে বাত হাইয়জ,Chittagong
আমারে একটু জায়গা দেখাইবেন।,Pabna
কী কন বাহ এগলা,Rangpur
দেওয়ানী কইল মুই আইজ যাবার পাবার নও,Rangpur
আমার ইকটু শোলকে খাইবের মন চাইছে।,Pabna
তোর পিও ছুটি কোনটা?,Rangpur
ছুবে/জলদি আও,Sylhet
অনে কেন আছন?,Chittagong
পাইছি তোমাকে,Bogura
হামরা অই পাকের লোক,Rangpur
এহনো মাঝে মধ্যে তোমার কতা মনে পড়ে।,Cumilla
অহন কী করতে হইবো কও।,Cumilla
তুই সোগসমায় ঠিক সিদ্ধান্ত নিস।,Rangpur
তুই হনোদিন বিদেশ জাইবর চিন্তা গইরগজ,Chittagong
কোনে তুই?,Pabna
গরমও পান্তাভাত খাওয়া লাগে,Sylhet
"আমরার সিলেট, আমরার অহংকার",Sylhet
আরতুন তো গম ন লার।,Chittagong
এডা তুমার লইগা,Pabna
আব্বা বাড়িতে নাই।,Cumilla
ওই তো হারাদিনই হাসি খুশিতেই থাকে।,Bogura
আমি পাওরি লিছি,Sylhet
ইন কি?,Chittagong
"থালি ঘষার সাবন আর ছালি আছে, অতা দিয়া মুখ ধইন।",Sylhet
আমি এহন গেলেম।,Pabna
আমার আম্মার হাতের রান্ধা যে মজাঅয়।,Sylhet
হায়! মোর খুব আগ উঠছে!,Rangpur
তুঁই কি গান পোনর নাকি।,Chittagong
ভুলি ন যাইস গই,Chittagong
ওহ।সেই মজা,Bogura
আজ মেলা বৃষ্টি হইসে,Pabna
তুই জানলেই কইশ।,Rangpur
আমি ওইহানে আছি,Pabna
তুমার নাম কিতা?,Bogura
তুমি কি কখনো বিদেশ যাইবার লাইগা ভাবছাও?,Bogura
তুই কতা দিয়া কতা রাখিস নাই,Rangpur
আমার লাইগা কিছু ফল লইয়া আসবেন?,Pabna
খাবারটা চাকি দেখ।,Rangpur
কি চমতেকার ব্যপার!,Rangpur
হামি ফিরা আসমু।,Bogura
তুই কি কিছুনে শিখবার ইচ্ছা রাখস?,Pabna
এইসব ভাষায় কতা কমু আমরা।,Cumilla
সঠিকভাবে কাজটি করেন।,Rangpur
তুয়ার কি হোন ইচ্ছা আছে নে?,Chittagong
আইচ্ছা! ইটা ঠিক হুনলাম নি?,Sylhet
অক্কু সাবধান অইতে কও।,Sylhet
এহনো কিল্লাই ন ঘুমার?,Chittagong
এহন দৌড় দাও,Bogura
রাতে গাড়ি,Pabna
তুমি গাড়ি চালাইতে ফারোনি?,Sylhet
উফ! যে গরম!,Sylhet
এইহানে ঠিকমতো কাম করো।,Cumilla
মোক একনা পরিক্ষ্যা করবের দেন।,Rangpur
ব্যাগডো গুছাই রাখো।,Bogura
আমারে আবার কল করতে পারেন নি?,Cumilla
বাজার করা লাগবি,Bogura
ই ছবি/মুবি টা যে সুন্দর।,Sylhet
ঠান্ডা পানি আনেক।,Rangpur
আমারে ডাকিস,Pabna
কামডো ঠিক কইরা করো,Bogura
পইত্তদিন পরাত থাক,Chittagong
মোর মনের কথা কইছেন,Rangpur
কম্পিউটার বন্ধ করো।,Cumilla
আঁই কি আপনার কাছ থাইক্যা ধার লইতে পারি নি?,Cumilla
ঠিক সময়ে আঁই,Chittagong
